term_id,name,slug,description,parent
"745","پوشاک نوزاد","babyclothes",,"0"
"2302","رامپر","%d8%b1%d8%a7%d9%85%d9%be%d8%b1-babyclothes",,"745"
"755","تیشرت شلوارک","%d8%b1%d8%a7%d9%85%d9%be%d8%b1",,"745"
"757","ست لباس بیمارستانی 19 تکه","%d8%b3%d8%aa-19%d8%aa%da%a9%d9%87",,"745"
"758","ست لباس 5 تکه","%d8%b3%d8%aa-5%d8%aa%da%a9%d9%87",,"745"
"759","ست لباس بیمارستانی 7 تکه","%d8%b3%d8%aa-7%d8%aa%da%a9%d9%87",,"745"
"761","سرهمی","%d8%b3%d8%b1%d9%87%d9%85%db%8c",,"745"
"768","غذاخوری نوزاد","%d8%ba%d8%b0%d8%a7%d8%ae%d9%88%d8%b1%db%8c-%d9%86%d9%88%d8%b2%d8%a7%d8%af",,"0"
"770","کالای خواب نوزاد","%da%a9%d8%a7%d9%84%d8%a7%db%8c-%d8%ae%d9%88%d8%a7%d8%a8-%d9%86%d9%88%d8%b2%d8%a7%d8%af",,"0"
"771","محصولات بهداشتی، مراقبتی، حمام","%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa-%d8%a8%d9%87%d8%af%d8%a7%d8%b4%d8%aa%db%8c%d8%8c-%d9%85%d8%b1%d8%a7%d9%82%d8%a8%d8%aa%db%8c%d8%8c-%d8%ad%d9%85%d8%a7%d9%85",,"0"
"773","ملزومات سفر و گردش","%d9%85%d9%84%d8%b2%d9%88%d9%85%d8%a7%d8%aa-%d8%b3%d9%81%d8%b1-%d9%88-%da%af%d8%b1%d8%af%d8%b4",,"0"
"774","مینی واش","%d9%85%db%8c%d9%86%db%8c-%d9%88%d8%a7%d8%b4",,"771"
"778","وان حمام","%d9%88%d8%a7%d9%86-%d8%ad%d9%85%d8%a7%d9%85",,"771"
"779","آغوشگیر حمل نوزاد (کانگورویی)","%d8%a2%d8%ba%d9%88%d8%b4-%d8%ad%d9%85%d9%84-%d9%86%d9%88%d8%b2%d8%a7%d8%af-%da%a9%d8%a7%d9%86%da%af%d9%88%d8%b1%d9%88%db%8c%db%8c",,"773"
"780","بالشت U شیر دهی","uncategories",,"770"
"2240","ست لباس 3 تکه","%d8%b3%d8%aa3%d8%aa%da%a9%d9%87",,"745"
"782","عینک، پاپوش، جوراب، کلاه و اکسسوری","%d8%af%d8%b3%d8%aa%da%a9%d8%b4%d8%8c-%d9%be%d8%a7%d9%be%d9%88%d8%b4%d8%8c-%da%a9%d9%84%d8%a7%d9%87-%d9%88-%d8%a7%da%a9%d8%b3%d8%b3%d9%88%d8%b1%db%8c",,"745"
"783","پاییز و زمستانه","%d9%be%d8%a7%db%8c%db%8c%d8%b2-%d9%88-%d8%b2%d9%85%d8%b3%d8%aa%d8%a7%d9%86%d9%87",,"745"
"784","پتو نوزاد","%d9%be%d8%aa%d9%88-%d9%86%d9%88%d8%b2%d8%a7%d8%af",,"770"
"785","پشه بند","%d9%be%d8%b4%d9%87-%d8%a8%d9%86%d8%af",,"770"
"786","تاب گهواره ای","%d8%aa%d8%a7%d8%a8-%da%af%d9%87%d9%88%d8%a7%d8%b1%d9%87-%d8%a7%db%8c",,"770"
"787","گهواره، بانوج و تخت کنار مادر","%da%af%d9%87%d9%88%d8%a7%d8%b1%d9%87%d8%8c-%d8%a8%d8%a7%d9%86%d9%88%d8%ac-%d9%88-%d8%aa%d8%ae%d8%aa-%da%a9%d9%86%d8%a7%d8%b1-%d9%85%d8%a7%d8%af%d8%b1",,"770"
"788","روروئک","%d8%b1%d9%88%d8%b1%d9%88%d8%a6%da%a9",,"773"
"789","ساک لوازم نوزاد","%d8%b3%d8%a7%da%a9-%d9%84%d9%88%d8%a7%d8%b2%d9%85-%d9%86%d9%88%d8%b2%d8%a7%d8%af",,"773"
"790","ست حوله نوزاد","%d8%b3%d8%aa-%d8%ad%d9%88%d9%84%d9%87-%d9%86%d9%88%d8%b2%d8%a7%d8%af",,"771"
"791","ست ظرف نوزاد","%d8%b3%d8%aa-%d8%b8%d8%b1%d9%81-%d9%86%d9%88%d8%b2%d8%a7%d8%af",,"768"
"792","ست قابلمه نوزاد","%d8%b3%d8%aa-%d9%82%d8%a7%d8%a8%d9%84%d9%85%d9%87-%d9%86%d9%88%d8%b2%d8%a7%d8%af",,"768"
"2297","شامپو، صابون، چسب گوش و سایر اقلام بهداشتی ...","%d8%b4%d8%a7%d9%85%d9%be%d9%88%d8%8c-%d8%b5%d8%a7%d8%a8%d9%88%d9%86%d8%8c-%da%86%d8%b3%d8%a8-%da%af%d9%88%d8%b4-%d9%88-%d8%b3%d8%a7%db%8c%d8%b1-%d8%a7%d9%82%d9%84%d8%a7%d9%85-%d8%a8%d9%87%d8%af%d8%a7",,"771"
"794","سرویس خواب گارددار","%d8%b3%d8%b1%d9%88%db%8c%d8%b3-%d8%ae%d9%88%d8%a7%d8%a8-%da%af%d8%a7%d8%b1%d8%af%d8%af%d8%a7%d8%b1",,"770"
"795","سه چرخه","%d8%b3%d9%87-%da%86%d8%b1%d8%ae%d9%87",,"773"
"796","ست مانیکور، برس شانه، سوهان برقی و سایر اقلام ...","%d9%84%d9%88%d8%a7%d8%b2%d9%85-%d8%a8%d9%87%d8%af%d8%a7%d8%b4%d8%aa%db%8c-%d9%86%d9%88%d8%b2%d8%a7%d8%af",,"771"
"797","شیشه شیر، پستانک و سایر اقلام","%d8%b4%db%8c%d8%b4%d9%87-%d8%b4%db%8c%d8%b1%d8%8c-%d9%be%d8%b3%d8%aa%d8%a7%d9%86%da%a9-%d9%88%d8%b3%d8%a7%db%8c%d8%b1-%d8%a7%d9%82%d9%84%d8%a7%d9%85",,"768"
"798","صندلی غذا","%d8%b5%d9%86%d8%af%d9%84%db%8c-%d8%ba%d8%b0%d8%a7",,"768"
"799","صندلی ماشین","%d8%b5%d9%86%d8%af%d9%84%db%8c-%d9%85%d8%a7%d8%b4%db%8c%d9%86",,"773"
"800","قنداق فرنگی","%d9%82%d9%86%d8%af%d8%a7%d9%82-%d9%81%d8%b1%d9%86%da%af%db%8c",,"770"
"803","کالسکه","%da%a9%d8%a7%d9%84%d8%b3%da%a9%d9%87",,"773"
"804","کالسکه تک مبله","%da%a9%d8%a7%d9%84%d8%b3%da%a9%d9%87-%d8%aa%da%a9-%d9%85%d8%a8%d9%84%d9%87",,"803"
"805","کالسکه مسافرتی","%da%a9%d8%a7%d9%84%d8%b3%da%a9%d9%87-%d9%85%d8%b3%d8%a7%d9%81%d8%b1%d8%aa%db%8c",,"803"
"806","کریر حمل","%da%a9%d8%b1%db%8c%d8%b1-%d8%ad%d9%85%d9%84",,"773"
